Report,Rank History
App ID,com.tencent.mm
App,WeChat
Market,Google Play
Countries,Vietnam
Device,-
Start Date,01/08/2016
End Date,02/08/2017
Date Generated,02/07/2017 22:55:45 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Android Wear (Applications),Applications,Communication (Applications)
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/08/2016,Downloads,89,0,50,9
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/09/2016,Downloads,85,0,49,9
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/10/2016,Downloads,85,0,49,9
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/11/2016,Downloads,85,0,49,9
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/12/2016,Downloads,90,0,48,9
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/13/2016,Downloads,88,0,49,9
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/14/2016,Downloads,86,0,48,8
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/15/2016,Downloads,86,0,48,8
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/16/2016,Downloads,86,0,48,8
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/17/2016,Downloads,84,0,45,8
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/18/2016,Downloads,84,0,46,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/19/2016,Downloads,83,0,47,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/20/2016,Downloads,82,0,45,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/21/2016,Downloads,82,0,48,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/22/2016,Downloads,85,0,50,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/23/2016,Downloads,87,0,50,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/24/2016,Downloads,87,0,47,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/25/2016,Downloads,87,0,47,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/26/2016,Downloads,94,0,50,8
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/27/2016,Downloads,98,0,53,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/28/2016,Downloads,99,0,54,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/29/2016,Downloads,92,0,53,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/30/2016,Downloads,89,0,50,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,01/31/2016,Downloads,92,0,50,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,02/01/2016,Downloads,95,0,50,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,02/02/2016,Downloads,95,0,48,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,02/03/2016,Downloads,93,0,46,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,02/04/2016,Downloads,93,0,46,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,02/05/2016,Downloads,94,0,44,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,02/06/2016,Downloads,97,0,43,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,02/07/2016,Downloads,97,0,43,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,02/08/2016,Downloads,111,0,46,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,02/09/2016,Downloads,110,0,46,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,02/10/2016,Downloads,122,0,55,8
