Report,Rank History
App ID,com.zing.zalo
App,Zalo
Market,Google Play
Countries,Vietnam
Device,-
Start Date,07/21/2012
End Date,02/08/2017
Date Generated,02/07/2017 23:00:39 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Applications,Communication (Applications),Lifestyle (Applications)
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/21/2012,Downloads,0,0,0,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/22/2012,Downloads,0,0,0,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/23/2012,Downloads,0,0,0,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/24/2012,Downloads,0,0,0,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/25/2012,Downloads,0,0,0,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/26/2012,Downloads,0,0,449,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/27/2012,Downloads,0,0,441,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/28/2012,Downloads,0,0,413,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/29/2012,Downloads,0,0,400,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/30/2012,Downloads,0,0,391,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/31/2012,Downloads,0,0,375,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/01/2012,Downloads,0,0,0,22
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/02/2012,Downloads,415,261,0,13
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/03/2012,Downloads,415,261,0,13
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/04/2012,Downloads,415,261,0,13
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/05/2012,Downloads,415,261,0,13
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/06/2012,Downloads,104,69,0,3
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/07/2012,Downloads,85,56,0,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/08/2012,Downloads,74,49,0,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/09/2012,Downloads,61,39,0,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/10/2012,Downloads,59,37,0,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/11/2012,Downloads,53,33,0,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/12/2012,Downloads,48,30,0,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/13/2012,Downloads,41,25,0,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/14/2012,Downloads,38,24,0,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/15/2012,Downloads,37,23,0,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/16/2012,Downloads,39,24,0,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/17/2012,Downloads,40,25,0,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/18/2012,Downloads,33,26,7,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/19/2012,Downloads,37,28,8,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/20/2012,Downloads,39,30,9,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/21/2012,Downloads,39,30,9,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/22/2012,Downloads,39,30,9,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/23/2012,Downloads,46,37,9,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/24/2012,Downloads,46,37,9,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/25/2012,Downloads,46,37,9,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/26/2012,Downloads,46,37,9,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/27/2012,Downloads,68,52,11,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/28/2012,Downloads,68,52,11,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/29/2012,Downloads,69,52,11,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/30/2012,Downloads,69,52,11,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/31/2012,Downloads,82,59,12,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/01/2012,Downloads,94,68,13,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/02/2012,Downloads,93,68,13,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/03/2012,Downloads,121,80,15,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/04/2012,Downloads,136,86,15,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/05/2012,Downloads,136,86,15,0
