Report,Rank History
App ID,com.zing.zalo
App,Zalo
Market,Google Play
Countries,Vietnam
Device,-
Start Date,01/01/2016
End Date,02/08/2017
Date Generated,02/07/2017 22:57:46 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Applications,Communication (Applications)
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/01/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/02/2016,Downloads,2,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/03/2016,Downloads,2,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/04/2016,Downloads,2,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/05/2016,Downloads,2,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/06/2016,Downloads,2,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/07/2016,Downloads,2,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/08/2016,Downloads,2,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/09/2016,Downloads,2,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/10/2016,Downloads,2,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/11/2016,Downloads,2,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/12/2016,Downloads,2,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/13/2016,Downloads,2,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/14/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/15/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/16/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/17/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/18/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/19/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/20/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/21/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/22/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/23/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/24/2016,Downloads,2,2,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/25/2016,Downloads,2,2,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/26/2016,Downloads,2,2,1
