Date,FBM,Zalo,Viber,Mocha,Bigo
01-01-2012,204,0,96,0,0
01-02-2012,217,0,99,0,0
01-03-2012,233,0,99,0,0
01-04-2012,247,0,99,0,0
01-05-2012,251,0,100,0,0
01-06-2012,252,0,95,0,0
01-07-2012,256,0,96,0,0
01-08-2012,256,0,97,0,0
01-09-2012,256,0,90,0,0
01-10-2012,268,0,89,0,0
01-11-2012,260,0,92,0,0
01-12-2012,253,0,94,0,0
01-13-2012,250,0,93,0,0
01-14-2012,267,0,86,0,0
01-15-2012,287,0,83,0,0
01-16-2012,290,0,82,0,0
01-17-2012,293,0,87,0,0
01-18-2012,308,0,83,0,0
01-19-2012,332,0,79,0,0
01-20-2012,335,0,81,0,0
01-21-2012,331,0,81,0,0
01-22-2012,329,0,81,0,0
01-23-2012,332,0,83,0,0
01-24-2012,329,0,77,0,0
01-25-2012,333,0,77,0,0
01-26-2012,311,0,83,0,0
01-27-2012,315,0,82,0,0
01-28-2012,315,0,82,0,0
01-29-2012,328,0,81,0,0
01-30-2012,327,0,77,0,0
01-31-2012,334,0,74,0,0
02-01-2012,333,0,74,0,0
02-02-2012,348,0,71,0,0
02-03-2012,356,0,63,0,0
02-04-2012,371,0,58,0,0
02-05-2012,369,0,54,0,0
02-06-2012,366,0,55,0,0
02-07-2012,389,0,55,0,0
02-08-2012,389,0,52,0,0
02-09-2012,389,0,52,0,0
02-10-2012,389,0,52,0,0
02-11-2012,389,0,52,0,0
02-12-2012,388,0,51,0,0
02-13-2012,446,0,48,0,0
02-14-2012,422,0,49,0,0
02-15-2012,425,0,46,0,0
02-16-2012,431,0,45,0,0
02-17-2012,428,0,44,0,0
02-18-2012,413,0,44,0,0
02-19-2012,412,0,44,0,0
02-20-2012,406,0,46,0,0
02-21-2012,419,0,48,0,0
02-22-2012,405,0,49,0,0
02-23-2012,403,0,47,0,0
02-24-2012,402,0,47,0,0
02-25-2012,389,0,47,0,0
02-26-2012,383,0,47,0,0
02-27-2012,395,0,48,0,0
02-28-2012,393,0,49,0,0
02-29-2012,394,0,48,0,0
03-01-2012,405,0,47,0,0
03-02-2012,411,0,45,0,0
03-03-2012,421,0,46,0,0
03-04-2012,431,0,49,0,0
03-05-2012,436,0,52,0,0
03-06-2012,435,0,52,0,0
03-07-2012,434,0,50,0,0
03-08-2012,425,0,48,0,0
03-09-2012,413,0,53,0,0
03-10-2012,423,0,53,0,0
03-11-2012,419,0,52,0,0
03-12-2012,418,0,52,0,0
03-13-2012,417,0,51,0,0
03-14-2012,425,0,54,0,0
03-15-2012,423,0,54,0,0
03-16-2012,423,0,54,0,0
03-17-2012,423,0,54,0,0
03-18-2012,423,0,54,0,0
03-19-2012,422,0,53,0,0
03-20-2012,393,0,45,0,0
03-21-2012,394,0,45,0,0
03-22-2012,409,0,29,0,0
03-23-2012,406,0,29,0,0
03-24-2012,406,0,29,0,0
03-25-2012,404,0,29,0,0
03-26-2012,404,0,29,0,0
03-27-2012,437,0,8,0,0
03-28-2012,434,0,8,0,0
03-29-2012,423,0,6,0,0
03-30-2012,440,0,6,0,0
03-31-2012,435,0,6,0,0
04-01-2012,433,0,6,0,0
04-02-2012,456,0,6,0,0
04-03-2012,456,0,6,0,0
04-04-2012,456,0,6,0,0
04-05-2012,466,0,8,0,0
04-06-2012,450,0,9,0,0
04-07-2012,473,0,13,0,0
04-08-2012,460,0,18,0,0
04-09-2012,447,0,19,0,0
04-10-2012,457,0,21,0,0
04-11-2012,459,0,21,0,0
04-12-2012,474,0,22,0,0
04-13-2012,463,0,23,0,0
04-14-2012,438,0,24,0,0
04-15-2012,434,0,22,0,0
04-16-2012,428,0,23,0,0
04-17-2012,411,0,24,0,0
04-18-2012,397,0,24,0,0
04-19-2012,371,0,23,0,0
04-20-2012,377,0,22,0,0
04-21-2012,381,0,24,0,0
04-22-2012,372,0,26,0,0
04-23-2012,364,0,26,0,0
04-24-2012,356,0,27,0,0
04-25-2012,355,0,27,0,0
04-26-2012,355,0,27,0,0
04-27-2012,354,0,27,0,0
04-28-2012,371,0,26,0,0
04-29-2012,383,0,27,0,0
04-30-2012,396,0,27,0,0
05-01-2012,414,0,26,0,0
05-02-2012,436,0,27,0,0
05-03-2012,450,0,24,0,0
05-04-2012,439,0,22,0,0
05-05-2012,451,0,22,0,0
05-06-2012,423,0,22,0,0
05-07-2012,393,0,24,0,0
05-08-2012,364,0,25,0,0
05-09-2012,330,0,22,0,0
05-10-2012,315,0,22,0,0
05-11-2012,299,0,22,0,0
05-12-2012,286,0,21,0,0
05-13-2012,284,0,18,0,0
05-14-2012,275,0,18,0,0
05-15-2012,271,0,17,0,0
05-16-2012,254,0,17,0,0
05-17-2012,234,0,18,0,0
05-18-2012,221,0,19,0,0
05-19-2012,211,0,17,0,0
05-20-2012,210,0,19,0,0
05-21-2012,207,0,19,0,0
05-22-2012,199,0,20,0,0
05-23-2012,197,0,19,0,0
05-24-2012,201,0,20,0,0
05-25-2012,199,0,20,0,0
05-26-2012,198,0,20,0,0
05-27-2012,198,0,20,0,0
05-28-2012,197,0,20,0,0
05-29-2012,195,0,20,0,0
05-30-2012,171,0,16,0,0
05-31-2012,176,0,19,0,0
06-01-2012,182,0,18,0,0
06-02-2012,188,0,18,0,0
06-03-2012,192,0,17,0,0
06-04-2012,196,0,17,0,0
06-05-2012,201,0,16,0,0
06-06-2012,205,0,17,0,0
06-07-2012,211,0,18,0,0
06-08-2012,215,0,20,0,0
06-09-2012,222,0,25,0,0
06-10-2012,228,0,25,0,0
06-11-2012,226,0,26,0,0
06-12-2012,235,0,25,0,0
