Date,Zalo,FBM,Bigo,Viber,Mocha
01-01-2012,0,204,0,96,0
01-02-2012,0,217,0,99,0
01-03-2012,0,233,0,99,0
01-04-2012,0,247,0,99,0
01-05-2012,0,251,0,100,0
01-06-2012,0,252,0,95,0
01-07-2012,0,256,0,96,0
01-08-2012,0,256,0,97,0
01-09-2012,0,256,0,90,0
01-10-2012,0,268,0,89,0
01-11-2012,0,260,0,92,0
01-12-2012,0,253,0,94,0
01-13-2012,0,250,0,93,0
01-14-2012,0,267,0,86,0
01-15-2012,0,287,0,83,0
01-16-2012,0,290,0,82,0
01-17-2012,0,293,0,87,0
01-18-2012,0,308,0,83,0
01-19-2012,0,332,0,79,0
01-20-2012,0,335,0,81,0
01-21-2012,0,331,0,81,0
01-22-2012,0,329,0,81,0
01-23-2012,0,332,0,83,0
01-24-2012,0,329,0,77,0
01-25-2012,0,333,0,77,0
01-26-2012,0,311,0,83,0
01-27-2012,0,315,0,82,0
01-28-2012,0,315,0,82,0
01-29-2012,0,328,0,81,0
01-30-2012,0,327,0,77,0
01-31-2012,0,334,0,74,0
02-01-2012,0,333,0,74,0
02-02-2012,0,348,0,71,0
02-03-2012,0,356,0,63,0
02-04-2012,0,371,0,58,0
02-05-2012,0,369,0,54,0
02-06-2012,0,366,0,55,0
02-07-2012,0,389,0,55,0
02-08-2012,0,389,0,52,0
02-09-2012,0,389,0,52,0
02-10-2012,0,389,0,52,0
02-11-2012,0,389,0,52,0
02-12-2012,0,388,0,51,0
02-13-2012,0,446,0,48,0
02-14-2012,0,422,0,49,0
02-15-2012,0,425,0,46,0
02-16-2012,0,431,0,45,0
02-17-2012,0,428,0,44,0
02-18-2012,0,413,0,44,0
02-19-2012,0,412,0,44,0
02-20-2012,0,406,0,46,0
02-21-2012,0,419,0,48,0
02-22-2012,0,405,0,49,0
02-23-2012,0,403,0,47,0
02-24-2012,0,402,0,47,0
02-25-2012,0,389,0,47,0
02-26-2012,0,383,0,47,0
02-27-2012,0,395,0,48,0
02-28-2012,0,393,0,49,0
02-29-2012,0,394,0,48,0
03-01-2012,0,405,0,47,0
03-02-2012,0,411,0,45,0
03-03-2012,0,421,0,46,0
03-04-2012,0,431,0,49,0
03-05-2012,0,436,0,52,0
03-06-2012,0,435,0,52,0
03-07-2012,0,434,0,50,0
03-08-2012,0,425,0,48,0
03-09-2012,0,413,0,53,0
03-10-2012,0,423,0,53,0
03-11-2012,0,419,0,52,0
03-12-2012,0,418,0,52,0
03-13-2012,0,417,0,51,0
03-14-2012,0,425,0,54,0
03-15-2012,0,423,0,54,0
03-16-2012,0,423,0,54,0
03-17-2012,0,423,0,54,0
03-18-2012,0,423,0,54,0
03-19-2012,0,422,0,53,0
03-20-2012,0,393,0,45,0
03-21-2012,0,394,0,45,0
03-22-2012,0,409,0,29,0
03-23-2012,0,406,0,29,0
03-24-2012,0,406,0,29,0
03-25-2012,0,404,0,29,0
03-26-2012,0,404,0,29,0
03-27-2012,0,437,0,8,0
03-28-2012,0,434,0,8,0
03-29-2012,0,423,0,6,0
03-30-2012,0,440,0,6,0
03-31-2012,0,435,0,6,0
04-01-2012,0,433,0,6,0
04-02-2012,0,456,0,6,0
04-03-2012,0,456,0,6,0
04-04-2012,0,456,0,6,0
04-05-2012,0,466,0,8,0
04-06-2012,0,450,0,9,0
04-07-2012,0,473,0,13,0
04-08-2012,0,460,0,18,0
04-09-2012,0,447,0,19,0
04-10-2012,0,457,0,21,0
04-11-2012,0,459,0,21,0
04-12-2012,0,474,0,22,0
04-13-2012,0,463,0,23,0
04-14-2012,0,438,0,24,0
04-15-2012,0,434,0,22,0
04-16-2012,0,428,0,23,0
04-17-2012,0,411,0,24,0
04-18-2012,0,397,0,24,0
04-19-2012,0,371,0,23,0
04-20-2012,0,377,0,22,0
04-21-2012,0,381,0,24,0
04-22-2012,0,372,0,26,0
04-23-2012,0,364,0,26,0
04-24-2012,0,356,0,27,0
04-25-2012,0,355,0,27,0
04-26-2012,0,355,0,27,0
04-27-2012,0,354,0,27,0
04-28-2012,0,371,0,26,0
04-29-2012,0,383,0,27,0
04-30-2012,0,396,0,27,0
05-01-2012,0,414,0,26,0
05-02-2012,0,436,0,27,0
05-03-2012,0,450,0,24,0
05-04-2012,0,439,0,22,0
05-05-2012,0,451,0,22,0
05-06-2012,0,423,0,22,0
05-07-2012,0,393,0,24,0
05-08-2012,0,364,0,25,0
05-09-2012,0,330,0,22,0
05-10-2012,0,315,0,22,0
05-11-2012,0,299,0,22,0
05-12-2012,0,286,0,21,0
05-13-2012,0,284,0,18,0
05-14-2012,0,275,0,18,0
05-15-2012,0,271,0,17,0
05-16-2012,0,254,0,17,0
05-17-2012,0,234,0,18,0
05-18-2012,0,221,0,19,0
05-19-2012,0,211,0,17,0
05-20-2012,0,210,0,19,0
05-21-2012,0,207,0,19,0
05-22-2012,0,199,0,20,0
05-23-2012,0,197,0,19,0
05-24-2012,0,201,0,20,0
05-25-2012,0,199,0,20,0
05-26-2012,0,198,0,20,0
05-27-2012,0,198,0,20,0
05-28-2012,0,197,0,20,0
05-29-2012,0,195,0,20,0
05-30-2012,0,171,0,16,0
05-31-2012,0,176,0,19,0
06-01-2012,0,182,0,18,0
06-02-2012,0,188,0,18,0
06-03-2012,0,192,0,17,0
06-04-2012,0,196,0,17,0
06-05-2012,0,201,0,16,0
06-06-2012,0,205,0,17,0
06-07-2012,0,211,0,18,0
06-08-2012,0,215,0,20,0
06-09-2012,0,222,0,25,0
06-10-2012,0,228,0,25,0
06-11-2012,0,226,0,26,0
06-12-2012,0,235,0,25,0
06-13-2012,0,235,0,24,0
06-14-2012,0,230,0,25,0
06-15-2012,0,230,0,25,0
06-16-2012,0,219,0,26,0
06-17-2012,0,213,0,25,0
06-18-2012,0,216,0,26,0
06-19-2012,0,215,0,26,0
06-20-2012,0,210,0,22,0
06-21-2012,0,197,0,25,0
06-22-2012,0,191,0,24,0
06-23-2012,0,189,0,23,0
06-24-2012,0,179,0,23,0
06-25-2012,0,167,0,23,0
06-26-2012,0,162,0,24,0
06-27-2012,0,156,0,24,0
06-28-2012,0,160,0,25,0
06-29-2012,0,156,0,25,0
06-30-2012,0,162,0,25,0
07-01-2012,0,163,0,26,0
07-02-2012,0,170,0,26,0
07-03-2012,0,171,0,25,0
07-04-2012,0,179,0,24,0
07-05-2012,0,184,0,23,0
07-06-2012,0,185,0,22,0
07-07-2012,0,184,0,22,0
07-08-2012,0,185,0,22,0
07-09-2012,0,185,0,21,0
07-10-2012,0,189,0,21,0
07-11-2012,0,187,0,21,0
07-12-2012,0,188,0,21,0
07-13-2012,0,190,0,21,0
07-14-2012,0,197,0,21,0
07-15-2012,0,200,0,20,0
07-16-2012,0,208,0,19,0
07-17-2012,0,206,0,19,0
07-18-2012,0,204,0,19,0
07-19-2012,0,186,0,19,0
07-20-2012,0,171,0,20,0
07-21-2012,0,167,0,22,0
07-22-2012,0,166,0,22,0
07-23-2012,0,142,0,20,0
07-24-2012,0,136,0,19,0
07-25-2012,0,130,0,19,0
07-26-2012,0,135,0,22,0
07-27-2012,0,127,0,12,0
07-28-2012,0,121,0,8,0
07-29-2012,0,117,0,7,0
07-30-2012,0,113,0,5,0
07-31-2012,0,113,0,6,0
08-01-2012,0,115,0,3,0
08-02-2012,415,118,0,3,0
08-03-2012,415,118,0,3,0
08-04-2012,415,118,0,3,0
08-05-2012,415,118,0,3,0
08-06-2012,104,118,0,3,0
08-07-2012,85,119,0,3,0
08-08-2012,74,119,0,4,0
08-09-2012,61,119,0,6,0
08-10-2012,59,122,0,6,0
08-11-2012,53,121,0,6,0
08-12-2012,48,123,0,6,0
08-13-2012,41,121,0,6,0
08-14-2012,38,122,0,6,0
08-15-2012,37,115,0,7,0
08-16-2012,39,112,0,7,0
08-17-2012,40,111,0,9,0
08-18-2012,33,101,0,11,0
08-19-2012,37,106,0,11,0
08-20-2012,39,113,0,12,0
08-21-2012,39,112,0,12,0
08-22-2012,39,112,0,12,0
08-23-2012,46,121,0,12,0
08-24-2012,46,121,0,12,0
08-25-2012,46,120,0,12,0
08-26-2012,46,121,0,12,0
08-27-2012,68,60,0,12,0
08-28-2012,68,60,0,12,0
08-29-2012,69,51,0,12,0
08-30-2012,69,51,0,12,0
08-31-2012,82,33,0,11,0
09-01-2012,94,35,0,11,0
09-02-2012,93,35,0,11,0
09-03-2012,121,37,0,11,0
09-04-2012,136,38,0,10,0
09-05-2012,136,38,0,10,0
09-06-2012,135,38,0,10,0
09-07-2012,169,40,0,10,0
09-08-2012,170,40,0,10,0
09-09-2012,171,40,0,10,0
09-10-2012,172,40,0,10,0
09-11-2012,169,39,0,10,0
09-12-2012,169,40,0,10,0
09-13-2012,168,41,0,10,0
09-14-2012,161,41,0,10,0
09-15-2012,159,39,0,10,0
09-16-2012,155,39,0,10,0
09-17-2012,141,35,0,10,0
09-18-2012,126,36,0,10,0
09-19-2012,118,36,0,10,0
09-20-2012,111,37,0,10,0
09-21-2012,107,36,0,10,0
09-22-2012,103,35,0,10,0
09-23-2012,104,34,0,10,0
09-24-2012,103,30,0,10,0
09-25-2012,111,27,0,10,0
09-26-2012,117,26,0,10,0
09-27-2012,120,24,0,9,0
09-28-2012,123,24,0,9,0
09-29-2012,124,26,0,10,0
09-30-2012,125,27,0,9,0
10-01-2012,123,27,0,9,0
10-02-2012,124,27,0,9,0
10-03-2012,129,27,0,9,0
10-04-2012,131,29,0,9,0
10-05-2012,144,31,0,9,0
10-06-2012,151,33,0,9,0
10-07-2012,155,35,0,9,0
10-08-2012,160,34,0,9,0
10-09-2012,169,33,0,9,0
10-10-2012,177,33,0,9,0
10-11-2012,178,33,0,9,0
10-12-2012,175,33,0,9,0
10-13-2012,181,36,0,9,0
10-14-2012,181,36,0,9,0
10-15-2012,182,36,0,9,0
10-16-2012,178,34,0,9,0
10-17-2012,178,30,0,9,0
10-18-2012,178,29,0,9,0
10-19-2012,179,31,0,9,0
10-20-2012,181,31,0,10,0
10-21-2012,185,30,0,10,0
10-22-2012,186,32,0,9,0
10-23-2012,189,32,0,8,0
10-24-2012,173,29,0,3,0
10-25-2012,171,30,0,3,0
10-26-2012,174,32,0,3,0
10-27-2012,176,32,0,3,0
10-28-2012,182,34,0,3,0
10-29-2012,186,34,0,3,0
10-30-2012,194,34,0,3,0
10-31-2012,197,35,0,3,0
11-01-2012,209,36,0,3,0
11-02-2012,215,36,0,3,0
11-03-2012,226,36,0,3,0
11-04-2012,227,37,0,3,0
11-05-2012,226,41,0,3,0
11-06-2012,238,39,0,3,0
11-07-2012,246,40,0,3,0
11-08-2012,242,42,0,3,0
11-09-2012,238,41,0,3,0
11-10-2012,242,41,0,3,0
11-11-2012,240,41,0,3,0
11-12-2012,235,40,0,3,0
11-13-2012,228,40,0,3,0
11-14-2012,220,40,0,3,0
11-15-2012,213,41,0,3,0
11-16-2012,203,39,0,3,0
11-17-2012,193,40,0,3,0
11-18-2012,179,38,0,3,0
11-19-2012,167,38,0,3,0
11-20-2012,162,37,0,3,0
11-21-2012,151,35,0,3,0
11-22-2012,142,36,0,4,0
11-23-2012,133,35,0,4,0
11-24-2012,117,35,0,4,0
11-25-2012,105,33,0,4,0
11-26-2012,99,33,0,4,0
11-27-2012,96,30,0,4,0
11-28-2012,96,30,0,4,0
11-29-2012,91,29,0,4,0
11-30-2012,90,29,0,4,0
12-01-2012,101,28,0,5,0
12-02-2012,101,31,0,5,0
12-03-2012,102,32,0,5,0
12-04-2012,102,32,0,5,0
12-05-2012,102,32,0,5,0
12-06-2012,107,33,0,5,0
12-07-2012,116,22,0,5,0
12-08-2012,121,19,0,5,0
