Platform,Date,App ID,App Name,Publisher ID,Publisher Name,Update Type,Previous Value,New Value,Notes
Google Play,2016-03-18,sg.bigo.live,BIGO LIVE - Live Broadcasting,20200001068169,BIGO TECHNOLOGY PTE. LTD.,Version,1.0.0,1.0.1,
Google Play,2016-03-21,sg.bigo.live,BIGO LIVE - Live Broadcasting,20200001068169,BIGO TECHNOLOGY PTE. LTD.,Name,BIGO LIVE - Live Broadcasting,BIGOLIVE - Live Broadcasting,
Google Play,2016-03-26,sg.bigo.live,BIGO LIVE - Live Broadcasting,20200001068169,BIGO TECHNOLOGY PTE. LTD.,Version,1.0.1,1.0.2,"New features in Version 1.0.2
- Connected Account feature! Provide a better way to manage your social accounts and sharing.
- 'Hardware Video Decoding' can be enabled in supported Android devices. Help you to save battery.
- Bug fixed."
Google Play,2016-03-26,sg.bigo.live,BIGO LIVE - Live Broadcasting,20200001068169,BIGO TECHNOLOGY PTE. LTD.,Icon,https://static-s.aa-cdn.net/img/gp/20600005430359/9l8Oy4eh_tn7czFnm0JmD6m-jf-COW4-ygWBnjO3BTvVkmJcsdp4m4TCS_hb_TbS_uA=w300,https://static-s.aa-cdn.net/img/gp/20600005430359/VahLsrZ_AJdvwY1dbGYLXHD48MNC8qV4QvQfgPn7pGSMzuCR88Znr8EFhuRJawRaJ5qd=w300,
Google Play,2016-03-30,sg.bigo.live,BIGO LIVE - Live Broadcasting,20200001068169,BIGO TECHNOLOGY PTE. LTD.,Name,BIGOLIVE - Live Broadcasting,BIGO LIVE - Live Broadcasting,
Google Play,2016-04-08,sg.bigo.live,BIGO LIVE - Live Broadcasting,20200001068169,BIGO TECHNOLOGY PTE. LTD.,Version,1.0.2,1.0.3,"New features in Version 1.0.3
- Songkran Festival Celebration! Find special gifts designs for Songkran Festival in Thailand
- Update to keep in touch with amazing Songkran events & activities
- Optimized video streaming for Android. Full HD broadcasting is enabled in supported devices"
Google Play,2016-04-20,sg.bigo.live,BIGO LIVE - Live Broadcasting,20200001068169,BIGO TECHNOLOGY PTE. LTD.,Version,1.0.3,1.1.0,"New features in Version 1.1.0
- Set up an @name as your BIGO ID. Let users and fans to find you easier.
- Optimized LIVE list and ranking to bring you more attractive shows.
- Watching and broadcasting LIVE by countries, stay tune for more supported countries.
- Bug fixed."
Google Play,2016-05-13,sg.bigo.live,BIGO LIVE - Live Broadcasting,20200001068169,BIGO TECHNOLOGY PTE. LTD.,Version,1.1.0,1.1.1,"New features in Version 1.1.1
- Fix the bug when recharging from credit card.
- Thailand users can get Diamonds via Thai prepaid card and SMS. Redeem now!
- Support MOL Points to recharge.
- Send more LIKES / HEARTS to broadcasters you love. Your name will be shown when hit the lucky numbers like 99, 555."
Google Play,2016-05-20,sg.bigo.live,BIGO LIVE - Live Broadcasting,20200001068169,BIGO TECHNOLOGY PTE. LTD.,Version,1.1.1,1.2.0,"We're excited to bring you the Version 1.2.0, some new features are added.
- Now you can watch hot LIVE by countries, and find out fresh LIVE more easily in 'Explore'.
- The entrance of search is moved to the top of 'Explore'.
- You can see the personal profile in the upper left corner, and the feature of official message is there.
- Mobile phone number sign-up is supported now.
- Brand new designed 'Reminder' feature, helps you to find your favorite broadcasters easier.
- Bug fixed."
Google Play,2016-05-27,sg.bigo.live,BIGO LIVE - Live Broadcasting,20200001068169,BIGO TECHNOLOGY PTE. LTD.,Icon,https://static-s.aa-cdn.net/img/gp/20600005430359/VahLsrZ_AJdvwY1dbGYLXHD48MNC8qV4QvQfgPn7pGSMzuCR88Znr8EFhuRJawRaJ5qd=w300,https://static-s.aa-cdn.net/img/gp/20600005430359/joh3OzvhzzG7O_pM9279A_2_3C0IoMieFsKX_ab-qsuhi_94w0NEFMX76-LRA1TaSxQ=w300,
Google Play,2016-06-16,sg.bigo.live,BIGO LIVE - Live Broadcasting,20200001068169,BIGO TECHNOLOGY PTE. LTD.,Version,1.2.0,1.3.0,"Here comes the Version 1.3.0
- Google Wallet enabled. Get diamonds in a safe and easy way.
- Support more social accounts to login and share.
- You can report users who posting improper content. Go LIVE with fun and manners please.
- Bug fixes and performance improvement."
Google Play,2016-07-01,sg.bigo.live,BIGO LIVE - Live Broadcasting,20200001068169,BIGO TECHNOLOGY PTE. LTD.,Version,1.3.0,1.4.0,"Welcome to Version 1.4.0 Here's the updates:
- You can #tag your LIVE now and explore with a tag topic.
- Your BIGO ID is now displayed in profile card. Makes your friends to find you easier.
- Some new gifts are added.
- Bug fixed and performance improvement."
Google Play,2016-08-17,sg.bigo.live,BIGO LIVE - Live Broadcasting,20200001068169,BIGO TECHNOLOGY PTE. LTD.,Description,"<b>Bring Fashion Live!</b><p>BIGOLIVE is a live video streaming social network. Watch broadcasters show their talents and share their interests.  Broadcast your life and build your audience!<br><br><br><br>►<b>Highlights:</b><br><br><br>☆ Live Broadcasting - Sing. Dance. Cook. Give make-up and fashion tutorials. Talk about movies. Broadcast what you’re good at and let people enjoy!<br><br><br>☆ Real-time interaction - Engage with your audience on your live sessions. Have a chat with your favorite broadcasters. <br><br><br>☆ Follow Broadcasters – Follow interesting broadcasters. You can receive notifications when they are broadcasting.<br><br><br>☆ Virtual gifts – Send hearts, lollipops, and other gifts to your favorite broadcasters in real time.<br><br><br>☆ Mobile streaming –You can watch Live videos anytime and anywhere.<br><br><br>☆ Bonuses – Get lots of audience. Keep your followers. We’ll give you interesting offers!<br><br><br><br>►<b>Stay Connected</b><br>Facebook	: http://facebook.com/bigoliveapp<br>Twitter	: http://twitter.com/BIGOLIVEapp<br>Website	: http://www.bigo.tv<br><br><br>We wanna know what you think about our app! Send it to feedback@bigo.tv :)</p>","BIGO LIVE-Radiodifusão ao vivo<p><br>Traga a moda em ao vivo!<br>BIGOLIVE é um vídeo ao vivo transmissão de rede social. Ve missoras que mostrar seus talentos e compartilhar seus interesses.Transmitir a sua vida e construir o seu público!</p><p>►Destaques:<br>☆ Transmissão ao vivo - cantar, dança ,cozinha.Dar tutoriais de moda e maquiagem.falar sobre filmes. transmitir o que há são bons e deixar as pessoas divirta-se!</p><p>☆ Interação em tempo real -Interagir com o público sobre as suas sessões ao vivo.Ter uma conversa com as emissoras favoritas.</p><p>☆ Siga a Radiodifusão- Siga as emissoras interessantes.Você pode receber notificações quando eles estão transmitindo.</p><p>☆Presentes virtuais-Enviar corações, pirulitos, e outros presentes para as emissoras favoritas em tempo real.</p><p>☆Transmissão Móvel-Você pode assistir a vídeos ao vivo a qualquer hora e em qualquer lugar.</p><p>☆ Bônus -Obter lotes de audiência.Mantenha seus seguidores. Vamos dar-lhe uma ofertas interessantes!</p><p>►Começa conectado<br>Facebook : http://facebook.com/bigoliveapp<br>Twitter : http://twitter.com/BIGOLIVEapp<br>Sitio web : http://www.bigo.tv</p><p>Queremos saber o que você pensa sobre o nosso app! Enviá-lo para feedback@bigo.tv :)</p>",
Google Play,2016-08-20,sg.bigo.live,BIGO LIVE - Live Broadcasting,20200001068169,BIGO TECHNOLOGY PTE. LTD.,Description,"BIGO LIVE-Radiodifusão ao vivo<p><br>Traga a moda em ao vivo!<br>BIGOLIVE é um vídeo ao vivo transmissão de rede social. Ve missoras que mostrar seus talentos e compartilhar seus interesses.Transmitir a sua vida e construir o seu público!</p><p>►Destaques:<br>☆ Transmissão ao vivo - cantar, dança ,cozinha.Dar tutoriais de moda e maquiagem.falar sobre filmes. transmitir o que há são bons e deixar as pessoas divirta-se!</p><p>☆ Interação em tempo real -Interagir com o público sobre as suas sessões ao vivo.Ter uma conversa com as emissoras favoritas.</p><p>☆ Siga a Radiodifusão- Siga as emissoras interessantes.Você pode receber notificações quando eles estão transmitindo.</p><p>☆Presentes virtuais-Enviar corações, pirulitos, e outros presentes para as emissoras favoritas em tempo real.</p><p>☆Transmissão Móvel-Você pode assistir a vídeos ao vivo a qualquer hora e em qualquer lugar.</p><p>☆ Bônus -Obter lotes de audiência.Mantenha seus seguidores. Vamos dar-lhe uma ofertas interessantes!</p><p>►Começa conectado<br>Facebook : http://facebook.com/bigoliveapp<br>Twitter : http://twitter.com/BIGOLIVEapp<br>Sitio web : http://www.bigo.tv</p><p>Queremos saber o que você pensa sobre o nosso app! Enviá-lo para feedback@bigo.tv :)</p>","BIGO LIVE-Radiodifusão ao vivo<p><br>Traga a moda em ao vivo!<br>BIGO LIVE é um vídeo ao vivo transmissão de rede social. Ve missoras que mostrar seus talentos e compartilhar seus interesses.Transmitir a sua vida e construir o seu público!</p><p>►Destaques:<br>☆ Transmissão ao vivo - cantar, dança ,cozinha.Dar tutoriais de moda e maquiagem.falar sobre filmes. transmitir o que há são bons e deixar as pessoas divirta-se!</p><p>☆ Interação em tempo real -Interagir com o público sobre as suas sessões ao vivo.Ter uma conversa com as emissoras favoritas.</p><p>☆ Siga a Radiodifusão- Siga as emissoras interessantes.Você pode receber notificações quando eles estão transmitindo.</p><p>☆Presentes virtuais-Enviar corações, pirulitos, e outros presentes para as emissoras favoritas em tempo real.</p><p>☆Transmissão Móvel-Você pode assistir a vídeos ao vivo a qualquer hora e em qualquer lugar.</p><p>☆ Bônus -Obter lotes de audiência.Mantenha seus seguidores. Vamos dar-lhe uma ofertas interessantes!</p><p>►Começa conectado<br>Facebook : http://facebook.com/bigoliveapp<br>Twitter : http://twitter.com/BIGOLIVEapp<br>Sitio web : http://www.bigo.tv</p><p>Queremos saber o que você pensa sobre o nosso app! Enviá-lo para feedback@bigo.tv :)</p>",
