Platform,Date,App ID,App Name,Publisher ID,Publisher Name,Update Type,Previous Value,New Value,Notes
Google Play,2012-04-06,com.facebook.orca,Messenger,20200000193769,Facebook,Version,1.5.005,1.6.003,
Google Play,2012-04-10,com.facebook.orca,Messenger,20200000193769,Facebook,Version,1.6.003,1.6.004,
Google Play,2012-05-05,com.facebook.orca,Messenger,20200000193769,Facebook,Version,1.6.004,1.7.001,
Google Play,2012-05-06,com.facebook.orca,Messenger,20200000193769,Facebook,Version,1.7.001,1.7.002,
Google Play,2012-06-25,com.facebook.orca,Messenger,20200000193769,Facebook,Version,1.7.002,1.8.001,
Google Play,2012-06-27,com.facebook.orca,Messenger,20200000193769,Facebook,Version,1.8.001,1.8.002,
Google Play,2012-07-02,com.facebook.orca,Messenger,20200000193769,Facebook,Version,1.8.002,1.8.003,
Google Play,2012-08-25,com.facebook.orca,Messenger,20200000193769,Facebook,Version,1.8.003,1.9.003-release,
Google Play,2012-08-28,com.facebook.orca,Messenger,20200000193769,Facebook,Version,1.9.003-release,1.9.004-release,
Google Play,2012-09-20,com.facebook.orca,Messenger,20200000193769,Facebook,Version,1.9.004-release,2.0.1-release,
Google Play,2012-09-21,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2.0.1-release,2.0.2-release,
Google Play,2012-09-24,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2.0.2-release,2.0.3-release,
Google Play,2012-10-17,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2.0.3-release,2.0.4-release,
Google Play,2012-11-12,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2.0.4-release,2.1.1-release,
Google Play,2012-11-16,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2.1.1-release,2.1.2-release,
Google Play,2012-12-04,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2.1.2-release,2.2.1-release,
Google Play,2012-12-06,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2.2.1-release,2.2.2-release,
Google Play,2012-12-20,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2.2.2-release,2.2.3-release,
Google Play,2013-01-04,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2.2.3-release,2.2.4-release,
Google Play,2013-01-23,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2.2.4-release,2.2.5-release,
Google Play,2013-03-05,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2.2.5-release,2.3.1-release,
Google Play,2013-03-11,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2.3.1-release,2.3.2-release,
Google Play,2013-04-12,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2.3.2-release,2.4.2-release,
Google Play,2013-04-24,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2.4.2-release,2.4.3-release,
