Platform,Date,App ID,App Name,Publisher ID,Publisher Name,Update Type,Previous Value,New Value,Notes
Google Play,2012-01-17,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,3.5,3.5.1,
Google Play,2012-01-19,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,3.5.1,3.6,
Google Play,2012-04-01,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Name,Weixin,WeChat,
Google Play,2012-04-02,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Name,WeChat,Weixin,
Google Play,2012-05-11,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Name,Weixin,WeChat,
Google Play,2012-05-24,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,3.6,4,
Google Play,2012-08-21,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,4,4.2,
Google Play,2012-11-08,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,4.2,4.3,
Google Play,2013-01-06,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,4.3,4.3.2,
Google Play,2013-02-07,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,4.3.2,4.5,
Google Play,2013-05-09,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,4.5,4.5.1,
Google Play,2013-08-22,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,4.5.1,5,
Google Play,2013-09-10,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,5,5.0.1,
Google Play,2013-11-02,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,5.0.1,5.0.3,
Google Play,2013-11-11,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,5.0.3,5.0.3.1,
Google Play,2013-12-24,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,5.0.3.1,5.1,
Google Play,2014-02-24,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,5.1,5.2,
Google Play,2014-04-04,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,5.2,Varies with device,
Google Play,2014-08-14,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Icon,https://static-s.aa-cdn.net/img/gp/20600000027132/6Vgc-DkcEZbMbDVLx35dZRb5AmtBnKYSaBEUb-3r-KP6xu4MGMsuvsaECrM-jiXy-7E=w300,https://static-s.aa-cdn.net/img/gp/20600000027132/zC5Q4atR1JytzagSPIPAg-z4uItJGsTVjZHvf9nSeGdwrwnuPPW_OqMk6FAI3DJvzQ=w300,
Google Play,2016-07-25,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,Varies with device,2016.07.12,"What's New in WeChat 6.3.22
- Additional chat bubble formats"
Google Play,2016-08-16,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.07.12,2016.08.15,"What's New in WeChat 6.3.22
- Additional chat bubble formats"
Google Play,2016-08-17,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.08.15,2016.08.17,"What's New in WeChat 6.3.22
- Additional chat bubble formats"
Google Play,2016-09-03,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.08.17,2016.09.02,"What's New in WeChat 6.3.23
- View group members when forwarding messages to a group"
Google Play,2016-09-06,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.09.02,2016.09.05,"What's New in WeChat 6.3.23
- View group members when forwarding messages to a group"
Google Play,2016-09-30,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.09.05,2016.09.29,"What's New in WeChat 6.3.23
- View group members when forwarding messages to a group"
Google Play,2016-10-20,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.09.29,2016.10.20,"What's New in WeChat 6.3.23
- View group members when forwarding messages to a group"
Google Play,2016-11-03,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.10.20,2016.11.02,"What's New in WeChat 6.3.23
- View group members when forwarding messages to a group"
Google Play,2016-11-04,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.11.02,2016.11.03,"What's New in WeChat 6.3.28
- Group owner can verify members' invitation before they invite their friends to join the group.
- Send animated GIFs in chats"
Google Play,2016-11-19,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.11.03,2016.11.18,"What's New in WeChat 6.3.28
- Group owner can verify members' invitation before they invite their friends to join the group.
- Send animated GIFs in chats"
Google Play,2016-11-21,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.11.18,2016.11.21,"What's New in WeChat 6.3.31
- Search chat transcript by members or by date within a group chat"
Google Play,2016-11-28,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.11.21,2016.11.27,"What's New in WeChat 6.3.31
- Search chat transcript by members or by date within a group chat"
Google Play,2016-12-16,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.11.27,2016.12.15,"What's New in WeChat 6.3.31
- Search chat transcript by members or by date within a group chat"
Google Play,2016-12-21,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.12.15,2016.12.21,"What's New in WeChat 6.3.31
- Search chat transcript by members or by date within a group chat"
Google Play,2016-12-22,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.12.21,2016.12.22,"What's New in WeChat 6.3.31
- Search chat transcript by members or by date within a group chat"
Google Play,2016-12-27,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.12.22,2016.12.25,"What's New in WeChat 6.3.32
- Minor bug fixes"
Google Play,2017-01-04,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2016.12.25,2017.01.03,"What's New in WeChat 6.3.32
- Minor bug fixes"
Google Play,2017-01-06,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2017.01.03,2017.01.05,"What's New in WeChat 6.3.32
- Minor bug fixes"
Google Play,2017-01-12,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2017.01.05,2017.01.11,"What's New in WeChat 6.5.3
- Share videos from album to Moments or chats"
Google Play,2017-01-20,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2017.01.11,2017.01.19,"What's New in WeChat 6.5.3
- Share videos from album to Moments or chats"
Google Play,2017-01-23,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2017.01.19,2017.01.23,"What's New in WeChat 6.5.3
- Share videos from album to Moments or chats"
Google Play,2017-01-24,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,Version,2017.01.23,2017.01.24,"What's New in WeChat 6.5.4
- Edit and annotate photos before sending them to friends.
- Sticky articles you're reading to the top of Chats."
