Date	Msg
2016-01-01	589315679
2016-01-02	570000137
2016-01-03	593588363
2016-01-04	578905811
2016-01-05	579826749
2016-01-06	582691044
2016-01-07	582421910
2016-01-08	575046660
2016-01-09	564519944
2016-01-10	590876750
2016-01-11	584804681
2016-01-12	581776210
2016-01-13	584217699
2016-01-14	600549921
2016-01-15	573514176
2016-01-16	564558538
2016-01-17	563795273
2016-01-18	572900333
2016-01-19	572453274
2016-01-20	569578067
2016-01-21	582419591
2016-01-22	581710422
2016-01-23	571134795
2016-01-24	611977078
2016-01-25	569713788
2016-01-26	620601283
2016-01-27	587733596
2016-01-28	569433914
2016-01-29	546183038
2016-01-30	526191502
2016-01-31	548272671
2016-02-01	559707814
2016-02-02	537760863
2016-02-03	525964500
2016-02-04	521402541
2016-02-05	495465071
2016-02-06	474310596
2016-02-07	455971818
2016-02-08	590482295
2016-02-09	489682315
2016-02-10	520658104
2016-02-11	550181752
2016-02-12	595315831
2016-02-13	620518843
2016-02-14	665297376
2016-02-15	655759497
2016-02-16	649449762
2016-02-17	637734473
2016-02-18	648020468
2016-02-19	645398957
2016-02-20	622936041
2016-02-21	638433684
2016-02-22	646627202
2016-02-23	642216049
2016-02-24	654431131
2016-02-25	647127259
2016-02-26	639714033
2016-02-27	608322575
2016-02-28	641804310
2016-02-29	653026823
2016-03-01	629247604
2016-03-02	628948510
2016-03-03	634071593
2016-03-04	630712674
2016-03-05	621704115
2016-03-06	642719965
2016-03-07	653206064
2016-03-08	707553863
2016-03-09	645563085
2016-03-10	638098910
2016-03-11	622236685
2016-03-12	606504386
2016-03-13	644340694
2016-03-14	637129475
2016-03-15	633039149
2016-03-16	627645618
2016-03-17	625305647
2016-03-18	618651346
2016-03-19	605731755
2016-03-20	643677881
2016-03-21	648267489
2016-03-22	641053796
2016-03-23	639108348
2016-03-24	647022269
2016-03-25	612478583
2016-03-26	588767564
2016-03-27	633119380
2016-03-28	639139460
2016-03-29	633543963
2016-03-30	591784681
2016-03-31	640944643
2016-04-01	657862806
2016-04-02	617412596
2016-04-03	642113870
2016-04-04	647349052
2016-04-05	640057016
2016-04-06	629604714
2016-04-07	634122244
2016-04-08	632681178
2016-04-09	612017109
2016-04-10	648602859
2016-04-11	645760526
2016-04-12	636138630
2016-04-13	639647335
2016-04-14	639545713
2016-04-15	617771981
2016-04-16	623047031
2016-04-17	652879431
2016-04-18	652576650
2016-04-19	644740395
2016-04-20	653040666
2016-04-21	647576257
2016-04-22	650337051
2016-04-23	623734474
2016-04-24	665953218
2016-04-25	647289688
2016-04-26	646530530
2016-04-27	644903433
2016-04-28	641242279
2016-04-29	622017720
2016-04-30	590095601
2016-05-01	635543195
2016-05-02	682040592
2016-05-03	679968835
2016-05-04	664656451
2016-05-05	670996298
2016-05-06	656115456
2016-05-07	650104967
2016-05-08	677967803
2016-05-09	669445194
2016-05-10	661512528
2016-05-11	658973829
2016-05-12	653701777
2016-05-13	669420537
2016-05-14	658049629
2016-05-15	754209804
2016-05-16	688809671
2016-05-17	684080057
2016-05-18	682149689
2016-05-19	686296997
2016-05-20	686515717
2016-05-21	719930947
2016-05-22	736798884
2016-05-23	696153608
2016-05-24	717889811
2016-05-25	677846485
2016-05-26	701569583
2016-05-27	705754196
2016-05-28	657347576
2016-05-29	688633691
2016-05-30	694201847
2016-05-31	683287846
2016-06-01	677446291
2016-06-02	686162077
2016-06-03	681420218
2016-06-04	657006152
2016-06-05	717909880
2016-06-06	701044915
2016-06-07	701770881
2016-06-08	677825691
2016-06-09	663666541
2016-06-10	675422096
2016-06-11	676381587
2016-06-12	682764678
2016-06-13	702791009
2016-06-14	691031526
2016-06-15	688089089
2016-06-16	696925767
2016-06-17	669632143
2016-06-18	664382060
2016-06-19	657813781
2016-06-20	698589999
2016-06-21	678066047
2016-06-22	693804838
2016-06-23	673692864
2016-06-24	672812468
2016-06-25	661921841
2016-06-26	712526417
2016-06-27	714259848
2016-06-28	689875598
2016-06-29	686301190
2016-06-30	685412530
2016-07-01	668231767
2016-07-02	667268899
2016-07-03	667648451
2016-07-04	694477444
2016-07-05	707662344
2016-07-06	686136649
2016-07-07	686706251
2016-07-08	673736404
2016-07-09	652262690
2016-07-10	661128385
2016-07-11	694741262
2016-07-12	671742175
2016-07-13	677342477
2016-07-14	693415158
2016-07-15	684488188
2016-07-16	663640869
2016-07-17	678766536
2016-07-18	698714428
2016-07-19	700916155
2016-07-20	685853556
2016-07-21	690190566
2016-07-22	667459311
2016-07-23	659277247
2016-07-24	662156988
2016-07-25	694214542
2016-07-26	710521006
2016-07-27	697237973
2016-07-28	687410078
2016-07-29	680113711
2016-07-30	649449976
2016-07-31	665549686
2016-08-01	698450301
2016-08-02	702721132
2016-08-03	700590333
2016-08-04	703891244
2016-08-05	687355553
2016-08-06	666048261
2016-08-07	683629619
2016-08-08	696227178
2016-08-09	703481766
2016-08-10	713951859
2016-08-11	699719714
2016-08-12	692417656
2016-08-13	680142915
2016-08-14	691589935
2016-08-15	707594413
2016-08-16	687610426
2016-08-17	693469711
2016-08-18	712141938
2016-08-19	752125690
2016-08-20	682749348
2016-08-21	696214880
2016-08-22	719785754
2016-08-23	706375910
2016-08-24	701946516
2016-08-25	711941539
2016-08-26	719840890
2016-08-27	687563609
2016-08-28	725663047
2016-08-29	705395524
2016-08-30	691897475
2016-08-31	688528952
2016-09-01	673752476
2016-09-02	647818762
2016-09-03	676082372
2016-09-04	687993342
2016-09-05	705209856
2016-09-06	689866077
2016-09-07	699780903
2016-09-08	676492364
2016-09-09	685235536
2016-09-10	677968297
2016-09-11	722924991
2016-09-12	698883533
2016-09-13	671274579
2016-09-14	720443566
2016-09-15	689038344
2016-09-16	691431069
2016-09-17	684034884
2016-09-18	706709014
2016-09-19	710372755
2016-09-20	699183634
2016-09-21	706599182
2016-09-22	699614275
2016-09-23	682346069
2016-09-24	677145766
2016-09-25	699581412
