Date,Zalo,FBM,Bigo,Viber
01/01/2016,2,3,0,16
01/02/2016,2,3,0,17
01/03/2016,2,3,0,20
01/04/2016,2,3,0,15
01/05/2016,2,3,0,16
01/06/2016,3,4,0,14
01/07/2016,3,5,0,16
01/08/2016,3,4,0,16
01/09/2016,3,4,0,15
01/10/2016,3,4,0,14
01/11/2016,2,3,0,12
01/12/2016,2,3,0,10
01/13/2016,2,3,0,12
01/14/2016,2,3,0,13
01/15/2016,3,4,0,14
01/16/2016,1,2,0,11
01/17/2016,1,2,0,13
01/18/2016,1,2,0,14
01/19/2016,2,3,0,14
01/20/2016,3,4,0,14
01/21/2016,4,3,0,15
01/22/2016,3,4,0,14
01/23/2016,3,4,0,16
01/24/2016,4,3,0,17
01/25/2016,3,5,0,16
01/26/2016,3,5,0,15
01/27/2016,2,4,0,19
01/28/2016,2,3,0,16
01/29/2016,2,3,0,14
01/30/2016,1,3,0,14
01/31/2016,1,3,0,11
02/01/2016,1,2,0,12
02/02/2016,1,2,0,11
02/03/2016,1,2,0,11
02/04/2016,1,3,0,10
02/05/2016,3,2,0,11
02/06/2016,3,2,0,11
02/07/2016,3,1,0,13
02/08/2016,3,2,0,17
02/09/2016,3,2,0,21
02/10/2016,4,2,0,24
02/11/2016,3,1,0,23
02/12/2016,2,1,0,23
02/13/2016,2,1,0,20
02/14/2016,3,1,0,18
02/15/2016,3,1,0,18
02/16/2016,2,1,0,16
02/17/2016,2,1,0,16
02/18/2016,1,2,0,14
02/19/2016,1,2,0,15
02/20/2016,2,1,0,16
02/21/2016,2,1,0,19
02/22/2016,2,1,0,17
02/23/2016,1,3,0,15
02/24/2016,2,3,0,13
02/25/2016,2,3,0,12
02/26/2016,4,3,0,12
02/27/2016,4,3,0,15
02/28/2016,4,3,0,16
02/29/2016,5,3,0,16
03/01/2016,3,1,0,15
03/02/2016,3,1,0,12
03/03/2016,2,1,0,13
03/04/2016,4,2,0,15
03/05/2016,4,2,0,18
03/06/2016,4,2,0,16
03/07/2016,4,3,0,15
03/08/2016,2,3,0,14
03/09/2016,2,1,0,16
03/10/2016,3,2,0,18
03/11/2016,3,2,0,15
03/12/2016,2,1,0,16
03/13/2016,2,1,0,19
03/14/2016,3,2,0,20
03/15/2016,3,2,0,20
03/16/2016,2,3,0,15
03/17/2016,3,2,0,15
03/18/2016,4,2,0,16
03/19/2016,4,2,0,20
03/20/2016,2,1,0,22
03/21/2016,3,2,0,20
03/22/2016,3,2,0,17
03/23/2016,3,2,0,15
03/24/2016,3,2,0,16
03/25/2016,5,3,0,16
03/26/2016,5,3,0,18
03/27/2016,5,3,0,18
03/28/2016,5,4,0,18
03/29/2016,3,5,0,19
03/30/2016,2,3,0,16
03/31/2016,3,1,0,17
04/01/2016,4,3,0,16
04/02/2016,4,2,0,17
04/03/2016,4,2,0,17
04/04/2016,3,2,0,15
04/05/2016,6,4,0,17
04/06/2016,5,3,0,16
04/07/2016,3,1,0,18
04/08/2016,4,1,0,18
04/09/2016,4,2,0,22
04/10/2016,4,2,0,20
04/11/2016,3,2,0,15
04/12/2016,2,1,0,15
04/13/2016,4,3,0,15
04/14/2016,2,1,0,14
04/15/2016,3,2,0,14
04/16/2016,3,2,661,18
04/17/2016,3,1,0,23
04/18/2016,3,1,0,18
04/19/2016,4,2,0,15
04/20/2016,6,4,0,12
04/21/2016,4,2,0,14
04/22/2016,1,3,0,14
04/23/2016,1,3,0,14
04/24/2016,1,2,0,14
04/25/2016,1,2,0,15
04/26/2016,1,2,0,13
04/27/2016,1,2,0,13
04/28/2016,1,2,0,12
04/29/2016,3,4,0,12
04/30/2016,3,2,0,15
05/01/2016,3,2,565,19
05/02/2016,3,2,163,20
05/03/2016,3,2,159,17
05/04/2016,4,3,145,15
05/05/2016,4,3,118,11
05/06/2016,4,1,146,14
05/07/2016,3,1,161,15
05/08/2016,2,1,166,15
05/09/2016,3,2,160,16
05/10/2016,2,3,85,14
05/11/2016,1,2,27,14
05/12/2016,1,2,11,16
05/13/2016,4,3,12,18
05/14/2016,4,2,20,23
05/15/2016,7,6,29,25
05/16/2016,5,4,13,20
05/17/2016,4,2,10,19
05/18/2016,3,2,7,19
05/19/2016,2,4,6,21
05/20/2016,4,6,3,19
05/21/2016,2,6,7,25
05/22/2016,3,5,7,25
05/23/2016,1,2,5,23
05/24/2016,2,3,1,22
05/25/2016,2,3,1,16
05/26/2016,3,2,1,18
05/27/2016,4,3,1,16
05/28/2016,3,2,4,19
05/29/2016,3,2,5,19
05/30/2016,3,1,4,18
05/31/2016,4,2,1,15
06/01/2016,4,2,1,16
06/02/2016,5,3,1,15
06/03/2016,5,3,1,17
06/04/2016,5,3,1,15
06/05/2016,6,5,2,22
06/06/2016,2,4,1,17
06/07/2016,2,3,1,16
06/08/2016,2,3,1,13
06/09/2016,3,4,2,19
06/10/2016,6,4,3,20
06/11/2016,5,2,4,24
06/12/2016,5,3,2,25
06/13/2016,5,4,1,23
06/14/2016,4,2,1,22
06/15/2016,4,2,1,27
06/16/2016,3,2,1,27
06/17/2016,4,3,1,28
06/18/2016,4,3,1,26
06/19/2016,3,2,1,24
06/20/2016,3,2,1,20
06/21/2016,2,3,1,22
06/22/2016,3,2,1,20
06/23/2016,2,3,1,17
06/24/2016,4,1,2,19
