Platform,Date,App ID,App Name,Publisher ID,Publisher Name,Update Type,Previous Value,New Value,Notes
iOS,2016-03-17,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,1.0.0,1.0.1,"Go LIVE, it's about time.

New version update: New design brings a brand new look and feel, and streaming more smoothly.

Here's what's new:
- Auto-adjust the video quality setting based on your network strength
- Brand new LOGO & designs - Dinosaur can be fashion too!
- Optimized video streaming experience
- Critical bug fixed!"
iOS,2016-03-17,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Name,BIGO LIVE,BIGO LIVE - Live Broadcasting,
iOS,2016-03-17,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Icon,https://static-s.aa-cdn.net/img/ios/1077137248/26edc4287bdd3ace8e1fc27e74112439,https://static-s.aa-cdn.net/img/ios/1077137248/19f1652aff6add0b08744ccdc93ebc82,
iOS,2016-03-26,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,1.0.1,1.0.2,"New features in Version 1.0.2

- Connected Account feature! Provide a better way to manage your social accounts and sharing.
- Performance improvement.
- Bug fixed."
iOS,2016-03-26,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Icon,https://static-s.aa-cdn.net/img/ios/1077137248/19f1652aff6add0b08744ccdc93ebc82,https://static-s.aa-cdn.net/img/ios/1077137248/8af0cd06f73eb41d4aaddfd0675e16e7,
iOS,2016-04-22,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,1.0.2,1.1.0,"- Set up an @name as your BIGO ID. Let users and fans to find you easier.
- Optimized LIVE list and ranking to bring you more attractive shows.
- Watching and broadcasting LIVE by countries, stay tune for more supported countries.
- Bug fixed."
iOS,2016-04-26,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,1.1.0,1.1.1,"- Set up an @name as your BIGO ID. Let users and fans to find you easier.
- Optimized LIVE list and ranking to bring you more attractive shows.
- Watching and broadcasting LIVE by countries, stay tune for more supported countries.
- Bug fixed.
- Fixed a Facebook sharing problem."
iOS,2016-05-18,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,1.1.1,1.2.0,"We're excited to bring you the Version 1.2.0, some new features are added.
- Now you can watch hot LIVE by countries, and find out fresh LIVE more easily in 'Explore'.
- The entrance of search is moved to the top of 'Explore'.
- You can see the personal profile in the upper left corner, and the feature of official message is there.
- Mobile phone number sign-up is supported now.
- Brand new designed 'Reminder' feature, helps you to find your favorite broadcasters easier.
- Bug fixed."
iOS,2016-05-18,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Icon,https://static-s.aa-cdn.net/img/ios/1077137248/97d23d606cfc0f5f97407f19deee3895,https://static-s.aa-cdn.net/img/ios/1077137248/a72f46be91f4f6376458902470c6b997,
iOS,2016-05-22,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,1.2.0,1.2.1,"We're excited to bring you the Version 1.2.1, some new features are added.
- Now you can watch hot LIVE by countries, and find out fresh LIVE more easily in 'Explore'.
- The entrance of search is moved to the top of 'Explore'.
- You can see the personal profile in the upper left corner, and the feature of official message is there.
- Mobile phone number sign-up is supported now.
- Brand new designed 'Reminder' feature, helps you to find your favorite broadcasters easier.
- Bug fixed."
iOS,2016-06-15,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,1.2.1,1.3.0,"Welcome to Version 1.3.0 Here's the updates:
- You can report users who post inappropriate content. Go LIVE for fun and be respectful to others.
- Support more social accounts to login and share.
- Bug fixed and performance improvement.
- Find out more surprises."
iOS,2016-06-17,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,1.3.0,1.3.1,"Welcome to Version 1.3.1 Here's the updates:
- You can report users who post inappropriate content. Go LIVE for fun and be respectful to others.
- Support more social accounts to login and share.
- Bug fixed and performance improvement.
- Find out more surprises."
iOS,2016-06-30,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,1.3.1,1.4.0,"Welcome to Version 1.4.0 Here's the updates:
- You can #tag your LIVE now and explore with a tag topic.
- Your BIGO ID is now displayed in profile card. Makes your friends to find you easier.
- Some new gifts are added.
- Bug fixed and performance improvement."
iOS,2016-07-06,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,1.4.0,1.4.1,"Welcome to Version 1.4.0 Here's the updates:
- You can #tag your LIVE now and explore with a tag topic.
- Your BIGO ID is now displayed in profile card. Makes your friends to find you easier.
- Some new gifts are added.
- Bug fixed and performance improvement."
iOS,2016-07-29,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,1.4.1,2.0.0,"Here's the updates:
- You can now start chat with friends within BIGO LIVE message (follow each other first)
- Share LIVE and invite your friends to watch LIVE together
- New reminder design: Shared LIVE will pop-up in Reminder
- Add your Facebook friends who was already in BIGO LIVE
- Updated profile card: Your connected social accounts can be displayed in your card
- You can enable and disable your location sharing when start LIVE
- More language localization support
- Bug fixed and performance improvement"
iOS,2016-08-12,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,2.0.0,2.0.1,"Here's the updates:
- You can now start chat with friends within BIGO LIVE message (follow each other first)
- Share LIVE and invite your friends to watch LIVE together
- New reminder design: Shared LIVE will pop-up in Reminder
- Add your Facebook friends who was already in BIGO LIVE
- Updated profile card: Your connected social accounts can be displayed in your card
- You can enable and disable your location sharing when start LIVE
- More language localization support
- Bug fixed and performance improvement"
iOS,2016-08-22,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,2.0.1,2.1.0,"- Connect your phone to BIGO LIVE now to find your friends in your Contacts!
- Now you can choose the number of gift to 'Combo' in one single click
- More interesting gifts and games added to celebrate Olympic 2016
- Add Top Fan within 24 hours. You can rush to be listed in top rank more easily
- More language support
- Performance improvement and bug fixes"
iOS,2016-08-22,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Description,"BIGOLIVE is a live video streaming social network. Watch broadcasters show their talents and share their interests.  Broadcast your life and build your audience!

Highlights:
+ Live Broadcasting – Sing. Dance. Cook. Give make-up and fashion tutorials. Talk about movies. Broadcast what you’re good at and let people enjoy!
+ Real-time interaction – Engage with your audience on your live sessions. Have a chat with your favorite broadcasters.
+ Follow Broadcasters – Follow interesting broadcasters. You can receive notifications when they are broadcasting.
+ Virtual gifts – Send hearts, lollipops, and other gifts to your favorite broadcasters in real time.
+ Mobile streaming –You can watch Live videos anytime and anywhere.
+ Bonuses – Get lots of audience. Keep your followers. We’ll give you interesting offers!

Stay Connected:
Facebook	: http://facebook.com/bigoliveapp
Twitter	        : http://twitter.com/BIGOLIVEapp
Website	        : http://www.bigo.tv","BIGOLIVE is a live video streaming social network. Watch broadcasters show their talents and share their interests.  Broadcast your life and build your audience!

Highlights:
+ Live Broadcasting – Sing. Dance. Cook. Give make-up and fashion tutorials. Talk about movies. Broadcast what you’re good at and let people enjoy!
+ Real-time interaction – Engage with your audience on your live sessions. Have a chat with your favorite broadcasters.
+ Follow Broadcasters – Follow interesting broadcasters. You can receive notifications when they are broadcasting.
+ Virtual gifts – Send hearts, lollipops, and other gifts to your favorite broadcasters in real time.
+ Mobile streaming –You can watch Live videos anytime and anywhere.
+ Bonuses – Get lots of audience. Keep your followers. We’ll give you interesting offers!

Stay Connected:
Facebook	: http://facebook.com/bigoliveapp
Twitter	        : http://twitter.com/BIGOLIVEapp
Website	        : http://www.bigo.tv
Instagram:https://www.instagram.com/bigoliveapp/


We wanna know what you think about our app! Send it to feedback@bigo.tv :)",
iOS,2016-08-25,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,2.1.0,2.1.1,"- Connect your phone to BIGO LIVE now to find your friends in your Contacts!
- Now you can choose the number of gift to 'Combo' in one single click
- More interesting gifts and games added to celebrate Olympic 2016
- Add Top Fan within 24 hours. You can rush to be listed in top rank more easily
- More language support
- Performance improvement and bug fixes"
iOS,2016-09-12,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,2.1.1,2.2.0,"- Livehouse launched. Bring you the most attractive LIVE shows.
- You can get more info from users' profile page now."
iOS,2016-09-12,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Icon,https://static-s.aa-cdn.net/img/ios/1077137248/5756720a164e293c4bbe9cf386c4901f,https://static-s.aa-cdn.net/img/ios/1077137248/3d5105aee8209d8e694921f6ffa22dd7,
iOS,2016-09-12,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Screenshot,'https://static-s.aa-cdn.net/img/ios/1077137248/e223a2b3ec44fb92b6483d8637de7775' 'https://static-s.aa-cdn.net/img/ios/1077137248/32f2abc1317f6dd48186890493a56b3f' 'https://static-s.aa-cdn.net/img/ios/1077137248/646f50b22318af5860a677e002a09acd' 'https://static-s.aa-cdn.net/img/ios/1077137248/daf5199284f70fb7a346fa185df78584','https://static-s.aa-cdn.net/img/ios/1077137248/be11e63444929937dff2295d3e6d4028' 'https://static-s.aa-cdn.net/img/ios/1077137248/427c617542498818364ea1c294d8d3ad' 'https://static-s.aa-cdn.net/img/ios/1077137248/787f5c218aa06808dd53695916255cc2' 'https://static-s.aa-cdn.net/img/ios/1077137248/6bf76fa04a4816170d3be2219c574038',iPhone
iOS,2016-10-11,1077137248,BIGO LIVE - Live Broadcasting,940017134,BIGO TECHNOLOGY PTE. LTD.,Version,2.2.0,2.3.0,"- Brand new theme design
- Invite a guest to join video chat in your LIVE"
