Platform,Date,App ID,App Name,Publisher ID,Publisher Name,Update Type,Previous Value,New Value,Notes
iOS,2011-08-15,454638411,Messenger,284882218,"Facebook, Inc.",Version,1,1.0.1,"• More accurate location mapping
• Faster image loading
• Faster launch time
• Bug fixes
"
iOS,2011-08-24,454638411,Messenger,284882218,"Facebook, Inc.",Version,1.0.1,1.0.2,"• Improved ability to copy and paste text
• Added links to phone numbers and addresses
• Fixed issue that sometimes caused the app to crash"
iOS,2011-10-19,454638411,Messenger,284882218,"Facebook, Inc.",Version,1.0.2,1.5,"• Ability to see who's online and who's mobile
• Ability to see when the other person is typing
• A faster way to compose new messages to the people you message most
• Various performance improvements
• Support for 12 additional languages
• Support for iOS 5
"
iOS,2011-10-26,454638411,Messenger,284882218,"Facebook, Inc.",Version,1.5,1.5.1,- Bug fixes
iOS,2011-12-05,454638411,Messenger,284882218,"Facebook, Inc.",Version,1.5.1,1.5.2,"• Faster message scrolling
• Faster startup
• Fix ""blue screen"" startup crash
• Retina display photos for friend chooser
• Bug fixes
"
iOS,2011-12-20,454638411,Messenger,284882218,"Facebook, Inc.",Version,1.5.2,1.5.3,"• Fix startup crash introduced in 1.5.2 upgrade.
• Bug fixes.
"
iOS,2012-03-19,454638411,Messenger,284882218,"Facebook, Inc.",Version,1.5.3,1.6,"• Faster way to start conversations
• Easier way to start group conversations
• 10 new languages: čeština, dansk, Nederlands, Ελληνικά, Bahasa Indonesia, Bahasa Melayu, ‪norsk (bokmål), polski, português (Portugal), ไทย
• Bug fixes"
iOS,2012-05-04,454638411,Messenger,284882218,"Facebook, Inc.",Version,1.6,1.7,"Now it’s even easier to reach groups of friends on the go:
• Text friends for free, using your existing data plan
• Reach friends wherever they are now – on their phone or the web
• Know who’s seen your message, and who hasn’t 
• See where friends are messaging you from

Also includes:
• Typing indicator – see when your friend is replying
• Bug fixes
"
iOS,2012-06-25,454638411,Messenger,284882218,"Facebook, Inc.",Version,1.7,1.8,"Now with more great ways to stay in touch on the go:

- Quickly switch between multiple conversations with in-app notifications
- Include friends of friends in conversations
- Swipe to delete individual messages from conversations
- See who's available when you start a new conversation
- Share bigger photos, tap for full screen and pinch to zoom

More improvements:
- Faster app loading, navigating and sending
- More-reliable push notifications
- Bug fixes"
iOS,2012-06-25,454638411,Messenger,284882218,"Facebook, Inc.",Icon,https://static-s.aa-cdn.net/img/ios/454638411/5c6a89e4a29df5b45b3e808c11c55fd7,https://static-s.aa-cdn.net/img/ios/454638411/805255d45b63f3d3f2a738103fbba522,
iOS,2012-07-06,454638411,Messenger,284882218,"Facebook, Inc.",Version,1.8,1.8.1,"Changes in 1.8.1:
- Fix bug causing friends and profile photos to load slowly
- See more top friends in the compose view

Changes from 1.8:

Now with more great ways to stay in touch on the go:

- Quickly switch between multiple conversations with in-app notifications
- Include friends of friends in conversations
- Swipe to delete individual messages from conversations
- See who's available when you start a new conversation
- Share bigger photos, tap for full screen and pinch to zoom

More improvements:
- Faster app loading, navigating and sending
- More-reliable push notifications
- Bug fixes"
iOS,2012-08-24,454638411,Messenger,284882218,"Facebook, Inc.",Version,1.8.1,1.9,"New features include:
· Add smileys, hearts and other emoji to messages
· Tap the person's name at the top of your conversation to view their Facebook Timeline
· Seeing who's active lets you and your friends know how soon to expect a reply
· Improved ""new message"" sound
· Other bug fixes"
