Platform,Date,App ID,App Name,Publisher ID,Publisher Name,Update Type,Previous Value,New Value,Notes
iOS,2011-02-04,414478124,WeChat,614694882,WeChat,Version,1,1.0.1,"1、优化会话列表滚动速度，列表滑动更轻快
2、优化网络连接，提高网络稳定性
3、优化部分界面绘图和文字描述
4、优化会话界面中的新消息提醒声音
5、修正消息未读计数的错误
6、修正拼音输入法的特殊空格与其他手机字符编码兼容问题"
iOS,2011-03-10,414478124,WeChat,614694882,WeChat,Version,1.0.1,1.1,"1、与腾讯微博私信互通，支持和网页中的微博好友私信联系，还能在私信中发送图片
2、支持添加好友备注，方便您识别好友
3、支持通讯录及会话列表搜索，找人更加方便快捷
4、好友发来的网址，支持点击打开
5、新消息通知的好友帐号改为昵称，让您更容易知道这是谁的来信"
iOS,2011-03-21,414478124,WeChat,614694882,WeChat,Version,1.1,1.2,"1、支持多人会话，方便您在手机上开展小群体讨论。
2、支持通过验证工作邮箱，自动找到验证过相同域名邮箱的同事。
3、增加黑名单功能，防止不必要的骚扰。"
iOS,2011-04-06,414478124,WeChat,614694882,WeChat,Version,1.2,1.3,"1、优化了交互体验，可以快捷地在微信、通讯录、找朋友、设置4个选项栏目来回切换。
2、发消息的时候，支持插入表情，为您增加了一种表达方式。
3、增加找朋友栏目，系统将您可能认识的人推荐到这里，方便您添加他们到通讯录。
4、强化了搜索好友功能，您可以在找朋友选项的搜索框输入微信帐号找朋友，也可以输入QQ好友昵称或者邮箱联系人名称找到他们。
5、设置选项的“邀请朋友”增加了邀请邮箱联系人和微博好友两种方式，能让您便捷的邀请更多朋友来使用微信。"
iOS,2011-05-10,414478124,WeChat,614694882,WeChat,Version,1.3,2,"-对讲机：可以群聊语音对讲，新潮好玩。
-微博发图助手：用滤镜艺术化您的照片，还能一键发到腾讯微博。
-QQ邮箱提醒：发微信提醒您QQ邮箱新来信，还能直接浏览邮件内容。"
iOS,2011-06-08,414478124,WeChat,614694882,WeChat,Version,2,2.1,"-寻找手机通讯录好友：选择启用手机通讯录后，系统会自动帮您找到通讯录里正在使用微信的好友。 
-增加LOMO相机滤镜：这个版本我们为您增加了拍立得、鱼眼、彩色铅笔三套滤镜。 
-分享微信号：支持将微信号分享至腾讯微博、QQ签名、说说、新浪微博等。
-看看谁在用：将您QQ、QQ邮箱、手机通讯录(需征得您同意)里已用上微信的好友罗列出来，让您便捷地添加他们为微信好友。
-隐私设置：允许设置“是否将我推荐给QQ好友”及“是否允许别人通过QQ号搜索到我”。"
iOS,2011-06-30,414478124,WeChat,614694882,WeChat,Version,2.1,2.2,"-QQ离线消息：当您的QQ处于离线状态时，微信帮您接收QQ消息，还可以回复喔。让您时刻继续保持和QQ好友联系。 
-好友推荐消息：向您推荐QQ好友和手机通讯录好友，还向您提醒好友验证请求。
-好友验证：当您打开了好友验证设置后，任何人添加您为好友，都必须先向您发送好友验证请求，避免不必要的骚扰。"
iOS,2011-08-03,414478124,WeChat,614694882,WeChat,Version,2.2,2.5,"-视频功能：支持视频即拍即发，经过压缩处理，即使在移动网络也适合传输，让您随时分享精彩的生活片段。
-查看附近的人：微信将会根据您的地理位置找到在您附近同样开启本功能的人，使您轻松找到身边正在使用微信的他们。
-语音记事本：可以进行语音速记，还支持视频、图片、文字记事，让记录备忘也变得便捷有趣。
-群名备注：支持修改群名字，让您更容易识别不同的群。
-手机号注册：支持通过手机号注册微信。
-个性签名：可以为自己编辑个性签名，让好友看到最特别的自己。
-系统通知：为您介绍新版本的功能特性及教程，呈现微信更新动态。"
iOS,2011-08-17,414478124,WeChat,614694882,WeChat,Version,2.5,2.5.1,"- 进一步强化使用“查看附近的人”功能的隐私保护。
- 优化用户体验，操作更方便。
- 修复BUG，系统运行更稳定。"
iOS,2011-08-30,414478124,WeChat,614694882,WeChat,Version,2.5.1,2.5.2,优化网络策略，提高网络稳定性，解决部分用户网络连接不上的问题。
